Escenario,Candidato1,Porcentaje1,Candidato2,Porcentaje2,Voto_Blanco,Nota,Fuente
De la Espriella vs. Cepeda,Abelardo de la Espriella,52.2,Iván Cepeda,44.5,3.3,Ventaja De la Espriella +7.7,AtlasIntel/Semana 5-10 Jun 2026
De la Espriella vs. Cepeda,Abelardo de la Espriella,52.6,Iván Cepeda,45.0,2.4,Ventaja De la Espriella +7.6,Guarumo/EcoAnalítica 8-11 Jun 2026
De la Espriella vs. Cepeda,Abelardo de la Espriella,48.6,Iván Cepeda,44.7,6.7,Ventaja De la Espriella +3.9 (la más ajustada),CNC 6-13 Jun 2026
De la Espriella vs. Cepeda,Abelardo de la Espriella,51.1,Iván Cepeda,44.7,4.2,Promedio de junio — De la Espriella +6.4,Promedio CNC + Guarumo + AtlasIntel
